"ehadiyet","Allah'ın birliğinin her bir varlıkta ayrı ayrı görünmesi"
"hadsiz","sınırsız, sayısız"
"mucizât","mu'cizeler, bir benzerini yapma konusunda başkalarını âciz bırakan olağanüstü şeyler"
"ibraz","gösteren"
"fiil-i rububiyet","Cenâb-ı Allah'ın bütün varlık âlemini kuşatan terbiye ve idare edicilik fiili"
"tasarruf-u hallâkıyet","Allah'ın yaratıcılığını dilediği şekilde göstermesi"
"müdahale","karışma"
"iştirak","ortak olma, katılma"
"mü'min","Allah'a ve Ondan gelen herşeye inanan"
"hüviyet-i şahsiye","kişinin şahsî hüviyeti, kimliği"
"mahiyet-i insaniye","insana ait özellikler, insanın içyapısı"
"cemiyet","çoğul olma anlamı"
"ene","Arapça'da ben anlamına gelen kelime"
"nefs","kişinin kendisi"
"tefsir","açıklama, yorum"
"Ehemmiyetsiz","önemsiz"
"hakir","küçük, ehemmiyetsiz"
"vücud","varlık"
"mü'min","Allah'a ve Ondan gelen herşeye inanan"
"vücud","varlık"
"insaniyet","insanlık"
"iman-ı tahkikî","imana dair bütün meseleleri inceleyip delil ve burhan ile inanma"
"marifetullah","Allah'ı bilme ve tanıma"
"muhabbet","sevgi"
"MERTEBE-İ NURİYE-İ HASBİYE","Hasbünallahu ve ni'me'l-vekîl (Allah bize yeter, O ne güzel vekildir.) âyetinin mertebesi, derecesi"
"gurbet","yabancılık, vatanından uzak olma"
"mağlûbiyet","yenilgi"
"vücud","varlık"
"gaflet","umursamazlık, dalgınlık"
"alâkadar","alakalı, ilgili"
"meftun","düşkün"
"vücud","varlık"
"mahlûkat","varlıklar"
"adem","yokluk, hiçlik"
"elîm","acı ve sıkıntı veren"
"âyet-i hasbiye","Allah bize yeter; O ne güzel vekildir mânâsındaki Hasbünallâhü ve ni'me'l-vekîl âyeti"
"müracaat","başvurmak"
"zerrecik","atom, maddenin en küçük parçası"
"vücud","varlık"
"mü'min","Allah'a ve Ondan gelen herşeye inanan"
"vücud","varlık"
"hadsiz","sayısız, sınırsız"
"vücud","varlık"
"nihayetsiz","sınırsız"
"inbisat","genişleme, yayılma"
"hadsiz","sayısız, sınırsız"
"vesile","aracı"
"kıymettar","değerli"
"bâki","devamlı, kalıcı, sonsuz"
"müteaddit","bir çok, çeşitli"
"kelime-i hikmet","hikmet ifade eden kelime"
"mensubiyet","mensup olmak, bağlı ve ait olmak"
"cihet","yön"
"ebedî","sonsuz"
"kıymettar","değerli"
"ilmelyakin","ilim yoluyla kesin bilgi sahibi olma"
"şuur-u iman","iman şuuru, bilinci"
"vücud","varlık"
"Vâcibü'l-Vücud","varlığı gerekli olan, var olmak için hiçbir sebebe ihtiyacı bulunmayan Allah"
"cilve","görüntü, yansıma"
"vahşî","ilkel, korkutucu"
"evham","kuruntular, şüpheler"
"hadsiz","sayısız, sınırsız"
"firak","ayrılık"
"hadsiz","sayısız, sınırsız"
"mufarakat","ayrılık"
"firak","ayrılık"
"elem","acı, keder"
"mevcudat","varlıklar"
"hususan","özellikle"
"zîhayat","canlı"
"taallûk","ilgilendiren, ait olan"
"ef'âl","fiiler, davranışlar"
"esmâ-i İlâhiye","Allah'ın isimleri"
"uhuvvet","kardeşlik"
"rabıta","bağlantı"
"münasebet peydâ","bağlantı kurmak"
"mevcudat","varlıklar"
"muvakkat","geçici"
"firak","ayrılık"
"daimî","devamlı, sürekli"
"visal","kavuşma"
"intisap","bağlanma"
"mü'min","Allah'a ve Ondan gelen herşeye inanan"
"vücud","varlık"
"hadsiz","sayısız"
"firak","ayrılık"
"envâr","nurlar"
"Hülâsa","özet olarak"
"firak","ayrılık"
"visal","kavuşma"
"tebdil-i mekân","yer değiştirme"
"bâki","devamlı, kalıcı, sonsuz"
"MERTEBE-İ NURİYE-İ HASBİYE","Hasbünallahu ve ni'me'l-vekîl (Allah bize yeter, O ne güzel vekildir.) âyetinin mertebesi, derecesi"
"şerâit","şartlar"
"nazar-ı dikkat","dikkatli bakış"
"âhiret","öteki dünya, öldükten sonraki ebedî hayat"
"tazyikat","baskılar, sıkıntılar"
"Hayy","gerçek hayat sahibi olan ve her canlıya hayat veren Allah"
"dair","ilgili, ait"
"risale","Risale-i Nur'u oluşturan bölümlerden her birisi"
"izah","açıklamak"
"mühim","önemli"
"meziyet","üstün özellik"
"kıymettar","değerli"
"müteellimâne","elem duyarak, kederlenerek"
"üstad","hoca, öğretmen"
"âyet","Kur'ân'da yer alan her bir cümle"
"müracaat","başvurmak"
"Hayy-ı Kayyûm","her an diri olan ve herşeyi ayakta tutan Allah"
"Zât-ı Hayy-ı Kayyûm","her an diri olup her canlıya hayat veren ve herşeyi ayakta tutan Zât, Allah"
"netice","son, sonuç"
"Hâlık","her şeyi yaratan Allah"
"marzî-i İlâhî","Allah'ın rızasına uygun olan işler"
"dair","ilgili, ait"
"kâfi","yeterli"
"hakikat","gerçek, esas"
"beyan","açıklamak"
"mahiyet","temel özellik"
"hakikat","gerçek, esas"
"hakikî","gerçek"
"hukuk","haklar"
"Hülâsa","özet olarak"
"Zât-ı Hayy-ı Kayyûm","her an diri olup her canlıya hayat veren ve herşeyi ayakta tutan Zât, Allah"
"beka","sonsuzluk, devamlılık ve kalıcılık"
"bâki","devamlı, kalıcı, sonsuz"
"sermediyet","daimîlik, süreklilik"
"cilve","görüntü, yansıma"
"bakı","devamlı, kalıcı, sonsuz"
"MERTEBE-İ NURİYE-İ HASBİYE","Hasbünallahu ve ni'me'l-vekîl (Allah bize yeter, O ne güzel vekildir.) âyetinin mertebesi, derecesi"
"Mufarakat-i umumi","geniş çaplı ayrılık"
"hengâm","zaman, dönem"
"harab-ı dünya","dünyanın sonu, kıyametin kopması"
"âhirzaman","dünya hayatının kıyamete yakın son devresi"
"hâdisât","hadiseler, olaylar"
"mufarakat-i hususiye","özel ayrılık"
"ihtar","hatırlatmak"
"âhir","son"
"hassasiyet-i fevkalâde","olağanüstü hassasiyet, duyarlılık"
"fıtrat","yaratılış, mizaç"
"cemalperestlik","güzelliğe düşkünlük"
"kemâlât","mükemmel özellikler"
"meftuniyet","tutkunluk, düşkünlük"
"inkişaf","açılmak, ortaya çıkmak"
"daimî","devamlı, sürekli"
"tahribatçı","her şeyi yıkan, dağıtan"
"zeval","yok olma, gelip geçicilik"
"fenâ","gelip geçicilik, yok oluş"
"mütemadî","sürekli bir şekilde"
"tefrik edici","ayırıcı"
"mevt","ölüm"
"adem","yokluk, hiçlik"
"dehşetli","korkunç, ürkütücü"
"suret","biçim, şekil"
"mahlûkat","varlıklar"
"fevkalâde","olağanüstü"
"şuur","bilinç"
"teessür","üzüntü"
"Fıtrat","yaratılış, mizaç"
"aşk-ı mecazî","gerçek olmayan aşk, geçici şeylere âşık olma"
"galeyan","coşup taşma, öfkelenme"
"medar-ı teselli","teselli kaynağı"
"âyet-i hasbiye","Allah bize yeter, O ne güzel vekildir mânasındaki Hasbünallahü ve ni'me'l-vekîl âyeti"
"müracaat","başvurmak"
"Sûre-i Nur","Nur Sûresi, Kur'ân-ı Kerim'in 24. sûresi"
"ilâ âhir","sonuna kadar"
"âyet","Kur'ân'da yer alan her bir cümle"
"rasathane","gözlem evi"
"âyet-i hasbiye","Allah bize yeter, O ne güzel vekildir mânasındaki Hasbünallahü ve ni'me'l-vekîl âyeti"
"şuur-u imanî","iman şuuru, bilinci"
"hurdebin","mikroskop"
"esrar","sırlar"
"şeffaf","saydam, parlak"
"ziya","ışık"
"cemâl","güzellik"
"ziya","ışık"
"elvân-ı seb'a","yedi renk"
"mütenevvi","çeşit çeşit"
"teceddüd","yenilenme"
"taharrük","hareket etme"
"kabiliyet","yetenek"
"inkisarat","kırılmalar"
"cemal","güzellik"
"inkisarat","kırılmalar"
"ziya","ışık"
"elvân-ı seb'a","yedi renk"
"izhar","göstermek, açığa çıkarmak"
"Şems-i Ezel ve Ebed","Ezel ve Ebed Güneşi; bu tabir ezelden ebede bütün varlık âlemini aydınlatan Cenâb-ı Hak için bir benzetme olarak kullanılır"
"Cemîl-i Zülcelâl","heybet ve yücelik sahibi, güzelliği sonsuz olan Allah"
"cemâl-i kudsî","Cenâb-ı Allah'ın her türlü kusur ve eksiklikten münezzeh güzelliği"
"nihayetsiz","sınırsız"
"Esmâ-i Hüsnâ","Allah'ın en güzel isimleri"
"sermedî","daimi, sürekli"
"âyinedarlık","bir şeyin özelliklerini yansıtan, ayna olan"
"cilve","görünme, yansıma"
"masnu","sanatla yapılmış, sanat değeri yüksek"
"mahlûk","varlık"
"cemal","güzellik"
"mevcudat","varlıklar"
"cemal","güzellik"
"tezahür","görünmek"
"sermedî","daimi, sürekli"
"mukaddes","kusur ve eksiklikten uzak"
"cemâl","güzellik"
"daimî","devamlı, sürekli"
"tecellî","görünmek, yansımak"
"mücerret","soyutlanmış"
"münezzeh","arınmış, kusur ve eksiklikten yüce"
"hüsn","güzellik"
"alâmet","belirti, işaret"
"lem'a","parıltı"
"cilve","görünme, yansıma"
"tafsilen","ayrıntılı olarak"
"izah","açıklamak"
"burhan","güçlü ve sarsılmaz delil"
"mâkul","akla uygun"
"suret","biçim, şekil"
"zikr","anılmak, belirtilmek"
"risale","Risale-i Nur'da yer alan bölümlerden her birisi"
"zevk-i selim","en kusursuz, en yüksek derecedeki zevk"
"istifade","yararlanma, faydalanma"
"gayr","başkası"
"istifade","yararlanma, faydalanma"
"Hususan","özellikle"
"Burhan","güçlü ve sarsılmaz delil"
"beyan","açıklamak, anlatmak"
"takdir","birşeyin değerini anlama ve ilân etme"
"tahsin","beğenme, birşeyin güzelliğini ilân etme"
"tasvip","uygun bulma"
"Mâşaallah","Allah dilemiş ve ne güzel yaratmış"
"fetebârekâllah","şânı ne yücedir Allah'ın"
"hakir","küçük, değersiz"
"vücud","varlık"
"teâli","yüceltmek"
"mucize","insanların benzeri yapmakta âciz oldukları Allah'ın olağanüstü eseri"
"derk","anlamak, algılamak"
"tasdik","doğrulamak, onaylamak"
"RİCA","ümit"
"ikamet","yerleşme"
"menzil","ev, mekân"
"haps-i münferit","tek başına hapis, hücre hapsi"
"tarassut","gözetleme"
"tahakküm","zorbalık etmek, baskı yapmak"
"teessüf","üzülmek"
"Ruh u can","ruh ve can, büyük bir istek"
"Denizli hapsi","Bediüzzaman'ın 1943 yılının sonlarından 1944 yılının Haziran ayına kadar tutuklu olarak kaldığı dönem; bk. Denizli"
"tarz-ı hayat","hayat tarzı"
"müreccah","tercih edilen"
"inâyet-i İlâhiye","Allah'ın yardımı ve gözetmesi"
"imdada yetişti","yardım etmek"
"teksir makinesi","yazıları çoğaltmak için kullanılan makine"
"Medresetü'z-Zehra","Bediüzzaman'ın doğu illerinde kurmayı hayal ettiği üniversite; Risale-i Nur talebelerinin oluşturduğu mânevî üniversitesi; bk. Medresetü'z-Zehra"
"teksir makinesi","yazıları çoğaltmak için kullanılan makine"
"kıymettar","değerli"
"mecmua","benzer konularda yazılmış yazıların bir araya getirilmesiyle oluşan eser"
"nüsha","kopya"
"Fütuhat","fetihler, zaferler"
"Hadsiz","sonsuz"
"şükür","Allah'a karşı minnet duyma, teşekkür etme"
"fütuhat-ı Nuriye","Nur Risalelerinin yayılması"
"hükûmet","idare, yönetim"
"sevk","yönlendirmek"
"inâyet-i Rabbâniye","bütün varlıkların Rabbi olan Allah'ın inayeti, yardımı"
"tecellî","görünmek, yansımak"
"ziyade","çok, fazla"
"itibarıyla","bakımından"
"müsadere","toplatma, elden alma"
"Risale","Risale-i Nur'u oluşturan bölümlerden"
"kemâl-i merak","merakın son derecesi"
"mütalâa","okumak, incelemek"
"Nurlar","Risale-i Nur Külliyatı"
"Tenkit","eleştiri"
"takdir","birşeyin değerini anlama ve ilân etme"
"ziyade","çok, fazla"
"menfaat","fayda, yarar"
"münafık","iki yüzlü, inanmadığı halde inanmış görünen"
"hükûmet","idare, yönetim"
"nazar-ı dikkat","dikkatli bakış"
"adliye","hukuk ve adalet işlerini gören devlet kuruluşu"
"maarif dairesi","Millî Eğitim Bakanlığı"
"zabıta","polis"
"Dahiliye Vekâleti","İçişleri Bakanlığı"
"evhamlandırdılar","kuşkulandırmak"
"cereyan","akım"
"komünist","komünizm yanlısı"
"anarşist","anarşizm yanlısı, hiçbir kayıt ve kural tanımayan, kanun ve düzene karşı"
"tahrikât","tahrikler, kışkırtmalar"
"evham","kuruntular, şüpheler"
"tazyik","baskı"
"tevkif","tutuklamak"
"risale","Risale-i Nur'u oluşturan bölümlerden"
"müsadere","toplatma, elden alma"
"şakirt","öğrenci"
"tevakkuf","durgunluk"
"isnat","dayandırma, suçlama"
"acip","hayret verici, tuhaf"
"iftira","asılsız suçlama"
"işâa","bir haberi yayma, duyurma"
"âdi","basit, sıradan"
"zemherîr","22 Aralık'tan 31 Ocak'a kadar olan şiddetli kış dönemi"
"tevkif","tutuklamak"
"tecrid-i mutlak","tam bir yalnızlık, yalnız başına bırakma"
"zaafiyet","zayıflık, güçsüzlük"
"vaziyet","durum, hâl"
"hiddet","öfke"
"inâyet-i İlâhiye","Allah'ın yardımı ve gözetmesi"
"hakikat","gerçek, sır"
"inkişaf","ortaya çıkmak"
"Mânen","mânevî olarak"
"medrese-i Yusufiye","Hz. Yusuf'un (a.s.) hapiste kalmasına benzetilerek, iman ve Kur'ân'a hizmetinden dolayı tutuklananların hapsedildiği yer mânâsında hapishane"
"nam","ad, isim"
"Denizli","Bediüzzaman'ın 1943 yılının sonlarından 1944 yılının Haziran ayına kadar tutuklu olarak kaldığı dönem; bk. Denizli"
"ziyade","çok, fazla"
"ferah","rahat"
"mânevî","mânâya ait"
"mahpus","hapsedilen kişi"
"Nurlar","Risale-i Nur Külliyatı"
"istifade","yararlanma"
"Nurlar","Risale-i Nur Külliyatı"
"fütuhat","fetihler, yayılmalar"
"netice","son, sonuç"
"şekvâ","şikâyet"
"şükr","teşekkür etmek, Allah'a karşı minnet duymak"
"fâni","gelip geçici, ölümlü"
"bâkileştirdi","sürekli kılmak, kalıcı hale getirmek"
"İnşaallah","Allah izin verirse"
"medrese-i Yusufiye","Hz. Yusuf'un (a.s.) hapiste kalmasına benzetilerek, iman ve Kur'ân'a hizmetinden dolayı tutuklananların hapsedildiği yer mânâsında hapishane"
"musibetzede","musibete uğrayan"
"Nurlar","Risale-i Nur Külliyatı"
"istifade","yararlanma"
"hiddet","öfke"
"zulm","haksızlık"
"hiddet","öfke"
"garaz","kötü kasıt"
"dalâlet","hak yoldan sapkınlık, inançsızlık, inkârcılık"
"idam-ı ebedî","dirilmemek üzere sonsuz yok oluş"
"haps-i münferid","hücre hapsi; tek başına hapsedilme"
"daimî","devamlı, sürekli"
"zulm","haksızlık"
"fâni","gelip geçici, ölümlü"
"bâki","devamlı olan, yok olmayan"
"vazife-i ilmiye ve diniye","ilim ve din görevi"
"ihlâs","ibadet ve davranışlarda sadece Allah'ın rızasını gözetme"
"ihtar","hatırlatmak"
"Elhamdü lillâh","Allah'a hamd olsun!"
"İnsaniyet","insanlık"
"zalim","acımasız ve haksız davranan"
"Yâ Rab","herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyleri veren, onları terbiye edip idaresi ve egemenliği altında bulunduran Allah'ım"
"ıslah","iyileştirmek, düzeltmek"
"Dahiliye","İçişleri Bakanlığı"
"vecih","yön"
"namına","adına"
"zalim","acımasız ve haksız davranan"
"hakperest","doğruluktan ayrılmayan, hakkı tutan"
"ehl-i insaf","insaflı olanlar"
"şakirt","öğrenci, talebe"
"hak","adalet"
"cihet","yön"
"divane","akılsızlık"
"Ezcümle","örnek olarak"
"tecessüs","gizlice araştıran, casusluk yapan"
"pusula","küçük not kağıdı"
"Said","bk. Bediüzzaman Said Nursî"
"hizmetkâr","hizmet yapan kimse"
"pusula","küçük not kağıdı"
"yabanî","yabancı"
"tehditkârâne","tehdit ederek"
"acip","tuhaf, şaşırtıcı"
"pusula","küçük not kağıdı"
"mecbur","zorunlu kılmak"
"nümune","örnek"
"teneffüs","dinlenme, temiz hava alma"
"kastıyla","amacıyla"
"ekser","çok"
"kaide","kural"
"minnet","iyilik karşısında kendini borçlu hissetme"
"hâdise-i siyasiye","siyasî olay"
"âsâyiş","kanuna uygunluk"
"temas","dokunan"
"vakıa","olay"
"hamiyet","din ve vatan gibi mukaddes değerleri koruma gayreti"
"tevkif","tutuklamak"
"nümune","örnek"
"şakirt","öğrenci, talebe"
"maskara","gülünç duruma düşmek"
"nümune","örnek"
"lâtif","güzel, hoş"
"muhavere","karşılıklı konuşma"
"tevkif","tutuklamak"
"emniyeti ihlâl","güvenliği bozma"
"gıybet","arkadan çekiştirmek, hazır olmayan birisinin aleyhinde konuşmak"
"Emniyet","güven"
"müddeiumumî","savcı"
"emniyet","güven"
"emniyet-i umumiye","genel güvenlik"
"kahretsin","perişan etmek"
"ziyade","çok, fazla"
"istirahat","dinlenme, rahatlama"
"hengâm","zaman, dönem"
"garaz","kötü kasıt"
"kast","amaç"
"ihsas","hissettirmek"
"tahammül","dayanma, katlanma"
"fevkinde","üstünde"
"tehcir","yurdundan çıkarma, sürgün etme"
"tecrit","yalnız başına bırakma"
"tevkif","tutuklamak"
"tazyik","baskı"
"sevk","yönlendirmek"
"fevkalâde","olağanüstü"
"iğbirar","gücenme, kırgınlık"
"inâyet","Allah'tan gelen yardım, ihsan, iyilik"
"imdad","yardım eli uzatmak"
"Mânen","mânevî olarak"
"ihtar","hatırlatılmak"
"ayn-ı zulüm","zulüm ve haksızlığın ta kendisi"
"ayn-ı adalet","adaletin ta kendisi"
"kader-i İlâhî","Allah'ın meydana gelecek hâdiseleri olmadan bilip o şekilde belirlemesi"
"rızk","Allah'ın ihsan ettiği nimetler, yiyecekler"
"rızk","Allah'ın ihsan ettiği nimetler, yiyecekler"
"teslim","her şeyiyle Allah'a bağlanma"
"mukabele","karşılık verme"
"Hikmet ve rahmet-i Rabbâniye","herbir varlığı terbiye edip idaresi ve tasarrufu altında bulunduran Allah'ın rahmet ve hikmeti"
"nurlandırmak","aydınlatmak"
"şükretmek","teşekkür etmek, Allah'a karşı minnet duymak"
"nefs","kişinin kendisi"
"istiğfar","af dileme, tevbe etme"
"tevbe","pişmanlık duyarak günahtan dönüş"
"nefs","kişinin kendisi"
"müstehak","hak etmiş, lâyık"
"desise","hile, aldatma"
"safdil","saf kalpli, kolay aldanan"
"vehham","aşırı derecede vehimli, kuruntulu"
"iğfal","gaflete düşürerek kandırma, aldatma"
"zulm","haksızlık"
"sevk","yönlendirmek"
"cihet","yön, taraf"
"münafık","iki yüzlü, inanmadığı halde inanmış görünen"
"dehşetli","korkunç, ürkütücü"
"hisse","pay"
"bilfiil","fiilen, uygulamalı olarak"
"vasıta","aracı"
"hisse","pay"
"cihet","yön, şekil"
"düstur","kural, prensip"
"ulüvvücenaplık","büyüklük"
"hakikat","gerçek, sır"
"ihtar","hatırlatma, uyarı"
"kemâl-i ferah","tam bir rahatlama"
"şükür","Allah'a karşı minnet duyma, teşekkür etme"
"medrese-i Yusufiye","Hz. Yusuf'un (a.s.) hapiste kalmasına benzetilerek, iman ve Kur'ân'a hizmetinden dolayı tutuklananların hapsedildiği yer mânâsında hapishane"
"mucib-i ceza","ceza gerektiren"
"alâkasız","ilgisiz"
"vazife-i Nuriye","Risale-i Nur yoluyla Kur'ân hizmetinde bulunma"
"nüsha","kopya"
"bâki","geride kalmak, elde bulunmak"
"hizmet-i imaniye","iman hizmeti"
"vâris","mirasçı"
"ziyade","çok, fazla"
"haricinde","dışında"
"hürriyet","özgürlük"
"tahakküm","baskı, zorbalık"
"serbestiyet","serbestlik"
"haricinde","dışında"
"alâkadar","alakalı, ilgili"
"tahakküm","baskı, zorbalık"
"mukabil","karşılık"
"mahpus","tutuklu"
"maslahat","fayda, gaye"
"binaen","dayanarak"
"tahakküm","baskı, zorbalık"
"mukabil","karşılık"
"kardeşâne","kardeşçesine"
"taltif","iyilik ve güzellikle muamele etmek"
"fıtrat","yaratılış, mizaç"
"vaziyet","durum"
"merhamete","acımak"
"rahmet","İlâhî şefkat, merhamet"
"zaafiyet","zayıflık, güçsüzlük"
"haricinde","dışında"
"hâkim","yargıç"
"hiddet","öfke"
"ihanetkârâne","haincesine"
"cihet","yön, şekil"
"merhametsiz","acımasız"
"kemâl-i şefkat","tam ve mükemmel şefkat, acıma"
"uhuvvet","kardeşlik"
"merhametkârâne","merhametli bir şekilde"
"hakikat","gerçek, sır"
"ihtar","hatırlatma, uyarı"
"teveccüh-ü âmme","halkın yönelişi, ilgi göstermesi"
"fütuhat","fetihler, zaferler"
"sed","engellemek"
"safdil","saf kalpli, kolay aldanan"
"nazar","bakış, görüş"
"ihanetkârâne","hainlik ederek"
"muamele","davranış, tavır"
"sevk","yöneltmek"
"inâyet-i İlâhiye","Allah'ın yardımı, lütfu"
"iman hizmeti","iman hakikatlerini yayma hizmeti"
"mukabil","karşılık"
"ikram","bağış, ihsan"
"ihanet","hainlik"
"bedel","karşılık"
"takdir","bir şeye gerekli değeri göstermek"
"şefkatkârâne","şefkat dolu"
"alâkadarâne","ilgilenerek"
"istikbal","karşılamak"
"teşyî","uğurlama, vefat eden kişinin defnedilmesi"
"müstantık","mahkemede ilk ifadeyi alan sorgu hâkimi"
"dair","ilgili, ait"
"müddeiumum","savcı"
"ahali","halk"
"kemâl-i alâka","tam bir ilgi ve alâka"
"lisan-ı hal","hâl ve beden dili"
"vaziyet","durum"
"ihtar","hatırlatmak"
"ahali","halk"
"saadet-i bâkiye","sonsuz mutluluk, âhiret hayatı"
"fıtraten","yaratılış itibariyle"
"ehemmiyet","önem, değer"
"hizmetkâr","hizmet yapan kimse"
"had","seviye, derece"
"ziyade","çok, fazla"
"iltifat","ilgilenmek"
"hakikat","gerçek, esas"
"Emniyet","güven ortamı"
"ihlâl","bozmak, karıştırmak"
"vehm","kuruntu, varsayım"
"ihanet","hainlik"
"teveccüh-ü âmme","halkın yönelişi, ilgi göstermesi"
